Back to Contents;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Table 25; CPI Weights: 2006 to 2018;;;;;;;;;;;;;;;;
; parts per 1000;;;;;;;;;;;;;;;;
;2015=100;;;;;;;;;;;;;;;;
;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018
Jan";"2018
Feb-Dec"
;L85A;01.1.7.6 Other tubers and products of tuber vegetables; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,28;0,26;0,26;0,26;0,26;0,26
;CJWI; 01.1.8 Sugar, jam, syrups, chocolate and confectionery;11;11;11;13;11;12;12;11;12;12;12;12;13;13;13
;L85B;01.1.8.1 Sugar; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,48;0,72;0,72;0,78;0,65;0,65
;L85C;01.1.8.2 Jams, marmalades and honey; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,60;0,84;0,84;0,91;1,17;1,17
;L85D;01.1.8.3 Chocolate; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,92;5,52;5,28;5,72;6,37;6,37
;L85E;01.1.8.4 Confectionery products; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,44;3,24;3,48;3,77;2,86;2,86
;L85F;01.1.8.5 Edible ices and ice cream; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,56;1,68;1,68;1,82;1,95;1,95
;CJWJ; 01.1.9 Food products (nec);2;2;2;3;3;3;3;3;3;3;3;3;3;2;2
;L85G;01.1.9.1 Sauces, condiments; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,44;1,44;1,44;1,44;0,96;0,96
;L85H;01.1.9.4 Ready-made meals; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,08;1,08;1,08;1,08;0,72;0,72
;L85I;01.1.9.9 Other food products n.e.c.  ; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,48;0,48;0,48;0,48;0,32;0,32
;;;;;;;;;;;;;;;;;
;CJUY;01.2 Non-alcoholic beverages;12;13;14;14;12;15;14;13;13;13;12;12;12;11;11
;CJWK;01.2.1 Coffee, tea and cocoa;3;3;3;4;3;4;4;3;3;3;3;3;3;3;3
;L85J;01.2.1.1 Coffee; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,68;1,68;1,68;1,68;1,80;1,80
;L85K;01.2.1.2 Tea; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,05;1,05;1,05;1,05;0,96;0,96
;L85L;01.2.1.3 Cocoa and powdered chocolate; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,27;0,27;0,27;0,27;0,24;0,24
;CJWL;01.2.2 Mineral waters, soft drinks and juices;9;10;11;10;9;11;10;10;10;10;9;9;9;8;8
;L85M;01.2.2.1 Mineral or spring waters; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,72;0,72;0,72;0,72;0,80;0,80
;L85N;01.2.2.2 Soft drinks; ..; ..; ..; ..; ..; ..; ..; ..; ..;5,13;5,13;5,13;5,13;4,64;4,64
;L85O;01.2.2.3 Fruit and vegetable juices; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,15;3,15;3,15;3,15;2,56;2,56
;;;;;;;;;;;;;;;;;
;CJUZ;02.1 Alcoholic beverages;18;18;18;21;18;19;18;20;20;19;19;19;20;19;20
;CJWM;02.1.1 Spirits;5;5;5;6;5;5;5;6;6;5;5;5;6;5;6
;CJWN;02.1.2 Wine;9;9;9;10;9;9;9;9;9;9;9;9;9;9;9
;L85Q;02.1.2.1 Wine from grapes; ..; ..; ..; ..; ..; ..; ..; ..; ..;7,65;7,65;7,65;7,65;7,65;7,65
;L85R;02.1.2.2 Wine from other fruits; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,99;0,99;0,99;0,99;0,99;0,99
;L85S;02.1.2.3 Fortified wines; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,36;0,36;0,36;0,36;0,36;0,36
;CJWO;02.1.3 Beer;4;4;4;5;4;5;4;5;5;5;5;5;5;5;5
;L85T;02.1.3.1 Lager beer; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,15;4,15;4,15;4,15;4,15;4,15
;L85Y;02.1.3.2 Other alcoholic beer; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,85;0,85;0,85;0,85;0,85;0,85
;;;;;;;;;;;;;;;;;
;CJWP;02.2 Tobacco;26;25;24;23;22;23;24;24;25;24;23;22;23;22;22
;L85Z;02.2.0.1 Cigarettes; ..; ..; ..; ..; ..; ..; ..; ..; ..;20,64;19,78;18,92;19,78;18,92;18,92
;L862;02.2.0.2 Cigars; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,24;0,23;0,22;0,23;0,22;0,22
;L863;02.2.0.3 Other tobacco products; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,12;2,99;2,86;2,99;2,86;2,86
;;;;;;;;;;;;;;;;;
;CJVA;03.1 Clothing;56;54;55;48;47;54;56;59;62;60;61;63;61;60;58
;CJWR;03.1.2 Garments;52;50;51;44;43;49;52;54;55;54;54;57;55;54;52
;L866;03.1.2.1 Garments for men; ..; ..; ..; ..; ..; ..; ..; ..; ..;14,84;15,12;15,96;15,4;15,12;14,56
;L867;03.1.2.2 Garments for women; ..; ..; ..; ..; ..; ..; ..; ..; ..;27,56;28,08;29,64;28,6;28,08;27,04
;L86A;03.1.2.3 Garments for infants  (0 to 2 years) and children (3 to 13 years)       ; ..; ..; ..; ..; ..; ..; ..; ..; ..;10,60;10,80;11,40;11,00;10,80;10,40
;CJWS;03.1.3 Other clothing and clothing accessories;3;3;3;3;3;4;3;4;6;5;6;5;5;5;5
;L86B;03.1.3.1 Other articles of clothing; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,20;4,20;3,35;3,35;3,15;3,15
;L86G;03.1.3.2 Clothing accessories; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,80;1,80;1,65;1,65;1,85;1,85
;CJWT;03.1.4 Cleaning, repair and hire of clothing;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;L86H;03.1.4.1 Cleaning of clothing; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,83;0,83;0,83;0,83;0,83;0,83
;L86K;03.1.4.2 Repair and hire of clothing; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,17;0,17;0,17;0,17;0,17;0,17
;;;;;;;;;;;;;;;;;
;CJVB;03.2 Footwear including repairs;9;8;8;9;9;8;9;9;10;10;10;12;11;12;12
;L86L;03.2.1.1 Footwear for men; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,20;3,52;3,84;3,52;3,72;3,72
;L86O;03.2.1.2 Footwear for women; ..; ..; ..; ..; ..; ..; ..; ..; ..;5,20;5,72;6,36;5,83;6,36;6,36
;L86P;03.2.1.3 Footwear for infants and children; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,60;1,76;1,80;1,65;1,92;1,92
;;;;;;;;;;;;;;;;;
;CJVC;04.1 Actual rentals for housing;47;49;51;51;54;57;64;62;70;72;72;70;71;85;86
;;;;;;;;;;;;;;;;;
;CJVD;04.3 Regular maintenance and repair of the dwelling;19;17;18;18;17;18;14;16;2;2;2;3;2;3;3
;CJWU;04.3.1 Materials for maintenance and repair;11;10;10;10;10;11;8;9;1;1;1;1;1;1;1
;CJWV;04.3.2 Services for maintenance and repair;8;7;8;8;7;7;6;7;1;1;1;2;1;2;2
