Back to Contents;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Table 4; CPI: Detailed figures by divisions, groups and classes1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;; Percentage change;;;Percentage change over 12 months;;;;;;;;
;;;;;;; Weights;; Index (2015=100);;; over 1 month;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2018;;2017;2018;;2017;2018;;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;;;;Feb-Dec;;Aug;Aug;;Aug;Aug;;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
Weights;Indices;1-month rate;12-month rate;;;;;;;;;;;;;;;;;;;;
CJXS;D7ED;D7M4;D7IP;;07.2.3 Maintenance and repairs;;24;;104,5;108,1;;0,2;0,2;;2,6;3,5;3,8;3,8;3,1;3,4;3,0;3,4;3,5
CJXT;D7EE;D7M5;D7IQ;;07.2.4 Other services;;13;;110,4;118,3;; -;0,4;;6,3;6,3;6,9;7,3;5,6;6,1;6,4;6,7;7,2
;;;;;;;;;;;;;;;;;;;;;;;
CJVO;D7CQ;D7KE;D7H4;;07.3 Transport services;;34;;118,9;126,6;;2,9;4,6;;4,3;5,2;3,9;3,8;-0,5;4,1;3,5;4,7;6,4
CJXU;D7EF;D7M8;D7IR;;07.3.1 Passenger transport by railway;;13;;102,7;106,8;;-0,8;-1,3;;1,8;2,9;3,1;3,1;1,0;1,8;2,5;4,4;4,0
CJXV;D7EG;D7M9;D7IS;;07.3.2 Passenger transport by road;;12;;112,8;117,7;;0,3;0,6;;6,6;4,7;4,4;2,8;3,2;2,4;3,3;4,0;4,3
CJXW;D7EH;D7MB;D7IT;;07.3.3 Passenger transport by air;;5;;129,3;137,8;;10,9;13,5;;3,5;8,1;7,5;9,5;-7,9;8,2;2,2;4,2;6,6
CJXX;D7EI;D7MA;D7IU;;07.3.4 Passenger transport by sea and inland waterway;;4;;129,3;147,2;;7,8;17,2;;-0,3;6,9;-2,8;-2,1;-9,0;7,5;4,7;4,7;13,9
;;;;;;;;;;;;;;;;;;;;;;;
CJVP;D7CR;D7KF;D7H5;;08.1 Postal services;;1;;103,7;106,6;; -; -;;2,1;2,1;2,1;2,1;2,8;2,8;2,8;2,8;2,8
;;;;;;;;;;;;;;;;;;;;;;;
CJYB;D7EM;D7MF;D7IY;;08.2/3 Telephone and telefax equipment and services;;23;;106,1;106,3;;1,7;0,4;;1,0;1,2;-0,4;-0,5;0,9;0,6;0,6;1,6;0,2
;;;;;;;;;;;;;;;;;;;;;;;
CJVQ;D7CS;D7KG;D7H6;;09.1 Audio-visual equipment and related products;;18;;97,5;93,1;;1,4; -;;-1,0;-0,6;-2,5;-1,6;-1,6;-2,3;-3,1;-3,2;-4,5
CJYC;D7EN;D7MG;D7IZ;;09.1.1 Reception and reproduction of sound and pictures;;5;;103,0;94,6;;-0,3;-0,3;;3,5;2,0;-2,5;-2,9;-2,7;-6,2;-6,4;-8,2;-8,2
CJYD;D7EO;D7MH;D7J2;;09.1.2 Photographic, cinematographic and optical equipment;;2;;97,3;94,5;;2,8;1,9;;2,5;-2,9;-5,5;-5,2;-2,5;-3,7;-4,5;-2,0;-2,8
CJYE;D7EP;D7MI;D7J3;;09.1.3 Data processing equipment;;6;;91,4;84,5;;3,6;1,9;;-4,0;-4,1;-6,1;-4,4;-4,5;-4,6;-5,5;-6,0;-7,6
CJYF;D7ES;D7MK;D7J6;;09.1.4 Recording media;;4;;104,0;106,9;;-1,0;-3,1;;-0,9;3,0;4,3;6,0;3,9;6,0;3,7;5,0;2,8
CJYG;D7ER;D7MJ;D7J5;;09.1.5 Repair of audio-visual equipment & related products;;1;;102,0;104,4;;-0,1;-0,1;;1,3;1,6;1,7;1,9;2,2;2,3;2,3;2,3;2,4
;;;;;;;;;;;;;;;;;;;;;;;
CJVR;D7CT;D7KH;D7H7;;09.2 Oth. major durables for recreation & culture;;16;;105,1;110,4;; -; -;;6,6;5,3;5,2;5,2;4,0;3,9;4,0;5,1;5,1
ICVN;D7FD;D7N5;D7NV;;09.2.1/2 Major durables for in/outdoor recreation;;16;;105,1;110,4;; -; -;;6,6;5,3;5,2;5,2;4,0;3,9;4,0;5,1;5,1
;;;;;;;;;;;;;;;;;;;;;;;
CJVS;D7CU;D7KI;D7H8;;09.3 Other recreational items, gardens and pets;;37;;97,3;101,1;;-1,0;-0,1;;1,6;2,1;2,0;2,0;3,5;1,3;-0,2;2,9;3,8
ICVP;D7FF;D7N7;D7NX;;09.3.1 Games, toys and hobbies;;21;;94,6;99,4;;-1,6;-0,1;;1,9;1,9;2,0;2,1;4,5;0,8;-2,1;3,5;5,1
ICVQ;D7FG;D7N8;D7NY;;09.3.2 Equipment for sport and open-air recreation;;3;;97,6;101,1;;-0,3;1,1;;-0,3;0,5;2,5;0,6;0,5;1,9;1,0;2,1;3,6
CJYI;D7ET;D7ML;D7J7;;09.3.3 Gardens, plants and flowers;;4;;99,4;101,5;;-0,7;-1,3;;2,2;2,8;2,4;3,1;3,2;1,7;3,7;2,7;2,1
CJYJ;D7EU;D7MN;D7J8;;09.3.4/5 Pets, related products and services;;9;;103,0;104,6;;0,1;-0,1;;1,3;2,5;1,6;1,6;1,9;1,8;1,9;1,7;1,5
;;;;;;;;;;;;;;;;;;;;;;;
CJVT;D7CV;D7KJ;D7H9;;09.4 Recreational and cultural services;;28;;107,0;112,4;;0,7;2,2;;1,1;2,9;2,8;3,7;3,8;3,2;3,9;3,6;5,1
ICVR;D7FH;D7N9;D7NZ;;09.4.1 Recreational and sporting services;;8;;108,1;111,3;;0,3;0,4;;1,2;2,6;2,8;2,6;3,1;3,1;3,1;2,9;3,0
ICVS;D7FI;D7NA;D7O2;;09.4.2 Cultural services;;20;;106,6;112,8;;0,9;2,9;;1,1;3,0;2,8;4,1;4,1;3,2;4,2;3,9;5,9
;;;;;;;;;;;;;;;;;;;;;;;
ICVT;D7FJ;D7NB;D7O3;;09.5 Books, newspapers and stationery;;12;;107,2;111,8;;-1,9;-1,4;;4,9;6,5;6,0;4,3;6,7;5,8;5,7;3,7;4,2
ICVU;D7FK;D7NC;D7O4;;09.5.1 Books;;4;;106,0;113,3;;-6,3;-3,5;;6,0;13,2;10,6;6,8;11,2;11,4;9,7;3,6;6,8
ICVV;D7FL;D7ND;D7O5;;09.5.2 Newspapers and periodicals;;4;;110,1;116,3;;0,4;0,8;;5,9;4,9;5,4;5,0;7,8;5,4;6,1;5,2;5,6
ICVW;D7FM;D7NE;D7O6;;09.5.3/4 Misc. printed matter, stationery, drawing materials;;4;;105,9;107,5;;-0,7;-1,6;;3,9;3,4;3,0;2,3;2,8;2,3;2,8;2,5;1,5
;;;;;;;;;;;;;;;;;;;;;;;
ICVX;D7FN;D7NF;D7O7;;09.6 Package holidays;;39;;103,0;108,6;;0,9;1,2;;5,1;4,9;5,1;5,6;4,7;4,6;4,9;5,1;5,4
;;;;;;;;;;;;;;;;;;;;;;;
CJUU;D7C5;D7JQ;D7GH;;10.0 Education;;22;;107,9;110,9;; -; -;;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8
;;;;;;;;;;;;;;;;;;;;;;;
CJVU;D7CW;D7KK;D7HA;;11.1 Catering services;;94;;105,3;108,4;;0,1;0,2;;3,0;3,1;2,9;2,7;2,8;2,8;2,9;2,8;2,9
CJYL;D7EW;D7MO;D7JA;;11.1.1 Restaurants & cafes;;86;;105,6;108,6;;0,2;0,2;;3,2;3,2;3,0;2,8;2,9;2,8;2,9;2,8;2,9
CJYM;D7EX;D7MP;D7JB;;11.1.2 Canteens;;8;;102,6;106,1;;-0,2;-0,2;;1,6;1,9;1,5;1,8;2,1;2,4;3,0;3,4;3,4
;;;;;;;;;;;;;;;;;;;;;;;
CJVV;D7CX;D7KL;D7HB;;11.2 Accommodation services;;27;;109,5;111,0;;-0,2;-0,2;;3,2;3,2;0,9;2,0;2,5;1,8;1,7;1,5;1,4
;;;;;;;;;;;;;;;;;;;;;;;
CJVW;D7CY;D7KM;D7HC;;12.1 Personal care;;30;;99,1;99,2;;-0,2;0,4;;-0,7;-1,0;-0,4;-1,6;-1,3;-1,0;-0,5;-0,6; -
CJYN;D7EY;D7MQ;D7JC;;12.1.1 Hairdressing and personal grooming establishments;;7;;104,8;107,3;; -;0,2;;2,1;1,9;1,8;2,1;2,0;1,8;1,9;2,2;2,4
CJYO;D7EZ;D7MR;D7JD;;12.1.2/3 Appliances and products for personal care;;23;;97,3;96,6;;-0,3;0,5;;-1,6;-2,1;-1,1;-2,8;-2,4;-2,0;-1,3;-1,5;-0,8
;;;;;;;;;;;;;;;;;;;;;;;
CJVX;D7FO;D7NG;D7O8;;12.3 Personal effects (nec);;15;;103,9;103,8;;2,1;2,4;;3,7;3,1;2,3;0,7;1,2;1,2;0,1;-0,3; -
ICVZ;D7FP;D7NH;D7O9;;12.3.1 Jewellery, clocks and watches;;10;;106,9;107,9;;1,2;1,6;;4,9;4,3;4,0;2,6;2,4;1,4;1,3;0,5;1,0
ICWA;D7FQ;D7NI;D7OA;;12.3.2 Other personal effects;;5;;100,1;98,1;;3,8;3,9;;1,5;0,6;-1,0;-2,9;-1,0;0,6;-2,2;-2,0;-1,9
;;;;;;;;;;;;;;;;;;;;;;;
CJVY;D7D2;D7KO;D7HE;;12.4 Social protection;;18;;108,2;111,8;;0,2;0,2;;4,0;4,0;3,8;3,6;3,5;3,3;3,3;3,3;3,3
;;;;;;;;;;;;;;;;;;;;;;;
CJVZ;D7D3;D7KP;D7HF;;12.5 Insurance;;8;;118,6;115,9;;0,6;0,5;;6,3;7,7;6,2;4,5;3,3;1,7; -;-2,1;-2,2
CJYP;D7F2;D7MS;D7JE;;12.5.2 House contents insurance;;2;;105,8;108,6;;1,3;1,1;;5,1;7,1;7,5;8,0;8,7;6,1;4,1;2,8;2,6
JKWP;D7EQ;D7NL;D7OD;;12.5.3 Health insurance;;2;;113,7;117,0;; -; -;;5,4;5,1;5,1;5,1;4,7;4,7;4,7;2,9;2,9
CJYQ;D7F3;D7MT;D7JF;;12.5.4 Transport insurance;;4;;128,0;118,4;;0,6;0,5;;7,6;8,7;5,7;2,1;-0,4;-2,5;-4,8;-7,4;-7,5
;;;;;;;;;;;;;;;;;;;;;;;
CJWA;D7D4;D7KQ;D7HG;;12.6 Financial services (nec);;11;;98,6;92,4;; -;-0,1;;-2,3;-2,9;-2,8;-3,0;-2,8;-2,6;-2,6;-6,3;-6,3
